transaction_id,customer_id,timestamp,amount,transaction_type,merchant_category,location,device_type,account_age_days,transaction_frequency,previous_transaction_amount,distance_from_usual_location,is_fraud
TXN-100498,CUST-1207,2025-01-02 22:15:58,687.72,UPI Transfer,Grocery & Supermarkets,Kochi,Trusted Mobile App (iOS),1501,3,376.7,12.04,0
TXN-100930,CUST-1212,2025-01-03 08:08:25,946.36,POS / In-Store,Grocery & Supermarkets,Jaipur,Trusted Mobile App (Android),132,1,790.92,1.96,0
TXN-100553,CUST-1141,2025-01-03 09:00:49,524.36,UPI Transfer,Dining & Food,Chennai,Desktop Web Browser,1030,3,731.59,9.69,0
TXN-100354,CUST-1014,2025-01-03 13:39:20,1163.29,Online,Utilities & Bills,Kolkata,Trusted Mobile App (iOS),219,3,729.49,15.56,0
TXN-100333,CUST-1081,2025-01-03 14:42:09,666.45,POS / In-Store,Grocery & Supermarkets,Mumbai,Trusted Mobile App (iOS),168,2,545.25,9.58,0
TXN-101009,CUST-1212,2025-01-03 17:55:56,965.44,Online,Utilities & Bills,Jaipur,Trusted Mobile App (Android),132,3,946.36,8.12,0
TXN-100611,CUST-1096,2025-01-03 18:19:47,1145.84,UPI Transfer,Healthcare & Medical,Jaipur,Trusted Mobile App (Android),977,2,736.83,24.82,0
TXN-101190,CUST-1076,2025-01-04 04:20:39,128868.06,Online,Luxury Goods & Jewelry,Chennai,Mobile Web Browser,469,5,293.63,584.27,1
TXN-100090,CUST-1093,2025-01-04 12:13:37,451.52,Online,Dining & Food,Kolkata,Trusted Mobile App (iOS),539,1,526.04,13.91,0
TXN-100590,CUST-1024,2025-01-04 16:10:23,761.26,Online,Healthcare & Medical,Hyderabad,Trusted Mobile App (iOS),808,2,1022.11,15.51,0
TXN-100988,CUST-1098,2025-01-05 11:29:33,809.09,POS / In-Store,Dining & Food,Jaipur,Trusted Mobile App (iOS),133,2,1144.33,14.11,0
TXN-100273,CUST-1016,2025-01-05 11:49:17,931.64,Online,Utilities & Bills,Kolkata,Desktop Web Browser,571,3,842.05,9.71,0
TXN-101094,CUST-1037,2025-01-05 18:21:06,511.32,Online,Utilities & Bills,Kolkata,Trusted Mobile App (iOS),674,1,396.66,45.89,0
TXN-100004,CUST-1149,2025-01-05 23:40:12,299.54,POS / In-Store,Dining & Food,Delhi,Desktop Web Browser,335,1,598.61,16.39,0
TXN-100332,CUST-1157,2025-01-06 11:30:36,511.78,Online,Utilities & Bills,Delhi,Desktop Web Browser,346,3,1005.98,68.82,0
TXN-100125,CUST-1164,2025-01-06 16:41:33,421.13,UPI Transfer,Utilities & Bills,Ahmedabad,Trusted Mobile App (iOS),438,2,582.36,33.47,0
TXN-100944,CUST-1188,2025-01-06 20:23:07,564.53,UPI Transfer,Dining & Food,Chennai,Desktop Web Browser,290,1,940.55,2.36,0
TXN-100441,CUST-1189,2025-01-07 10:33:09,618.11,UPI Transfer,Utilities & Bills,Hyderabad,Trusted Mobile App (Android),1391,1,557.38,4.15,0
TXN-100543,CUST-1043,2025-01-07 16:46:55,1207.93,POS / In-Store,Dining & Food,Kochi,Trusted Mobile App (Android),1225,3,1183.95,5.06,0
TXN-101038,CUST-1057,2025-01-07 18:15:04,404.32,Online,Utilities & Bills,Chennai,Desktop Web Browser,1590,2,501.09,11.65,0
TXN-101083,CUST-1079,2025-01-07 18:59:49,218.11,UPI Transfer,Dining & Food,Hyderabad,Desktop Web Browser,481,1,295.37,11.15,0
TXN-101081,CUST-1215,2025-01-07 19:19:54,1258.09,POS / In-Store,Healthcare & Medical,Ahmedabad,Desktop Web Browser,1117,2,734.3,1.98,0
TXN-100510,CUST-1205,2025-01-07 22:09:48,292.66,UPI Transfer,Healthcare & Medical,Ahmedabad,Desktop Web Browser,1770,2,152.24,16.11,0
TXN-101167,CUST-1176,2025-01-08 04:09:45,240456.65,Wire Transfer,Luxury Goods & Jewelry,Kochi,Mobile Web Browser,1245,9,1661.56,535.16,1
TXN-100836,CUST-1227,2025-01-08 12:56:47,1796.66,UPI Transfer,Utilities & Bills,Bengaluru,Trusted Mobile App (iOS),503,3,1447.68,16.81,0
TXN-100036,CUST-1247,2025-01-08 17:55:26,863.88,UPI Transfer,Grocery & Supermarkets,Bengaluru,Trusted Mobile App (iOS),562,3,844.25,15.29,0
TXN-100633,CUST-1185,2025-01-08 22:07:58,1384.55,POS / In-Store,Healthcare & Medical,Delhi,Desktop Web Browser,645,1,1853.54,8.5,0
TXN-100517,CUST-1080,2025-01-09 09:21:40,629.4,POS / In-Store,Utilities & Bills,Mumbai,Trusted Mobile App (iOS),1479,1,641.16,1.31,0
TXN-100132,CUST-1094,2025-01-09 13:23:41,1093.47,POS / In-Store,Utilities & Bills,Hyderabad,Trusted Mobile App (iOS),1128,3,550.42,1.79,0
TXN-100167,CUST-1190,2025-01-09 14:34:29,759.7,POS / In-Store,Utilities & Bills,Pune,Desktop Web Browser,1562,1,735.17,15.62,0
TXN-100741,CUST-1139,2025-01-09 21:32:07,601.49,Online,Grocery & Supermarkets,Chennai,Desktop Web Browser,461,3,833.94,13.38,0
TXN-100170,CUST-1127,2025-01-10 02:29:44,674.44,UPI Transfer,Healthcare & Medical,Pune,Desktop Web Browser,234,1,1043.61,63.22,0
TXN-100699,CUST-1146,2025-01-10 08:32:47,670.49,POS / In-Store,Utilities & Bills,Bengaluru,Desktop Web Browser,934,2,606.71,7.94,0
TXN-100816,CUST-1179,2025-01-10 10:24:33,352.22,Online,Healthcare & Medical,Mumbai,Desktop Web Browser,923,1,524.24,8.27,0
TXN-100260,CUST-1132,2025-01-10 15:52:35,1079.05,POS / In-Store,Dining & Food,Mumbai,Desktop Web Browser,1470,1,824.54,72.37,0
TXN-100652,CUST-1068,2025-01-10 19:51:43,1267.76,POS / In-Store,Grocery & Supermarkets,Delhi,Desktop Web Browser,1598,3,2096.69,13.5,0
TXN-100228,CUST-1196,2025-01-10 21:01:12,702.26,Online,Healthcare & Medical,Kolkata,Trusted Mobile App (Android),934,1,247.75,15.51,0
TXN-101004,CUST-1051,2025-01-10 22:02:52,398.6,POS / In-Store,Utilities & Bills,Pune,Trusted Mobile App (Android),1163,3,817.25,26.56,0
TXN-100865,CUST-1189,2025-01-11 04:58:36,944.23,UPI Transfer,Dining & Food,Hyderabad,Trusted Mobile App (Android),1391,1,1013.18,15.49,0
TXN-100567,CUST-1087,2025-01-11 08:25:57,261.1,UPI Transfer,Dining & Food,Ahmedabad,Trusted Mobile App (Android),419,3,516.75,14.62,0
TXN-100312,CUST-1121,2025-01-11 09:30:09,536.25,UPI Transfer,Utilities & Bills,Kochi,Desktop Web Browser,1100,2,287.19,9.26,0
TXN-101068,CUST-1159,2025-01-11 10:37:59,161.27,Online,Grocery & Supermarkets,Bengaluru,Trusted Mobile App (Android),80,2,103.54,16.55,0
TXN-101072,CUST-1239,2025-01-11 13:34:48,854.92,Online,Healthcare & Medical,Pune,Trusted Mobile App (Android),89,1,1003.78,7.14,0
TXN-100415,CUST-1033,2025-01-11 20:30:55,492.81,POS / In-Store,Dining & Food,Mumbai,Trusted Mobile App (iOS),1432,2,527.09,47.64,0
TXN-100619,CUST-1042,2025-01-11 20:40:38,945.53,POS / In-Store,Grocery & Supermarkets,Jaipur,Trusted Mobile App (Android),1559,3,1242.48,6.73,0
TXN-100849,CUST-1157,2025-01-12 02:45:53,1162.57,POS / In-Store,Healthcare & Medical,Kochi,Desktop Web Browser,346,3,676.84,14.61,0
TXN-101145,CUST-1118,2025-01-12 04:38:58,122793.26,ATM Withdrawal,Crypto & Digital Assets,Bengaluru,Mobile Web Browser,1135,10,221.12,168.74,1
TXN-100445,CUST-1016,2025-01-12 11:44:20,965.93,UPI Transfer,Utilities & Bills,Kolkata,Desktop Web Browser,571,2,931.64,2.38,0
TXN-100222,CUST-1207,2025-01-12 15:38:39,327.13,UPI Transfer,Utilities & Bills,Kochi,Trusted Mobile App (iOS),1501,3,555.9,6.16,0
TXN-100083,CUST-1010,2025-01-12 16:04:36,304.7,POS / In-Store,Healthcare & Medical,Ahmedabad,Desktop Web Browser,599,2,209.1,17.6,0
TXN-100160,CUST-1145,2025-01-12 16:46:22,522.23,Online,Grocery & Supermarkets,Bengaluru,Desktop Web Browser,566,1,488.84,4.95,0
TXN-100769,CUST-1250,2025-01-12 18:49:17,1178.74,Online,Grocery & Supermarkets,Pune,Trusted Mobile App (Android),1570,2,960.21,16.08,0
TXN-100875,CUST-1084,2025-01-13 12:25:24,570.36,POS / In-Store,Healthcare & Medical,Ahmedabad,Trusted Mobile App (iOS),1134,1,574.32,0.85,0
TXN-100810,CUST-1235,2025-01-13 13:58:56,814.84,UPI Transfer,Grocery & Supermarkets,Mumbai,Trusted Mobile App (Android),641,1,1869.12,17.87,0
TXN-100846,CUST-1071,2025-01-13 14:30:04,525.52,UPI Transfer,Grocery & Supermarkets,Chennai,Desktop Web Browser,1272,3,1240.19,13.81,0
TXN-100085,CUST-1039,2025-01-13 17:45:08,628.26,POS / In-Store,Healthcare & Medical,Pune,Desktop Web Browser,969,2,597.05,11.81,0
TXN-100525,CUST-1008,2025-01-13 18:30:26,965.35,POS / In-Store,Dining & Food,Jaipur,Trusted Mobile App (iOS),1496,3,922.72,3.49,0
TXN-100966,CUST-1085,2025-01-13 22:13:32,1331.99,Online,Dining & Food,Bengaluru,Desktop Web Browser,1199,2,2639.29,8.83,0
TXN-101017,CUST-1049,2025-01-14 12:43:56,936.24,Online,Healthcare & Medical,Kochi,Trusted Mobile App (iOS),818,1,673.68,15.72,0
TXN-101118,CUST-1112,2025-01-14 13:45:36,657.96,UPI Transfer,Dining & Food,Ahmedabad,Desktop Web Browser,1776,3,1062.71,7.82,0
TXN-100365,CUST-1143,2025-01-14 14:58:02,183.29,UPI Transfer,Utilities & Bills,Pune,Trusted Mobile App (Android),120,1,189.28,7.29,0
TXN-100883,CUST-1053,2025-01-14 15:40:27,1128.75,POS / In-Store,Dining & Food,Delhi,Desktop Web Browser,1129,2,631.23,3.87,0
TXN-100082,CUST-1113,2025-01-14 16:50:13,323.87,UPI Transfer,Healthcare & Medical,Jaipur,Trusted Mobile App (iOS),146,2,696.36,1.48,0
TXN-100823,CUST-1124,2025-01-14 21:24:08,896.51,POS / In-Store,Grocery & Supermarkets,Pune,Trusted Mobile App (iOS),1405,1,273.46,13.48,0
TXN-100017,CUST-1126,2025-01-15 08:09:52,698.34,Online,Grocery & Supermarkets,Delhi,Trusted Mobile App (iOS),968,3,1359.11,10.35,0
TXN-101070,CUST-1127,2025-01-15 08:22:38,2530.42,Online,Healthcare & Medical,Pune,Desktop Web Browser,234,1,2143.4,52.9,0
TXN-100892,CUST-1021,2025-01-15 09:10:58,591.75,UPI Transfer,Grocery & Supermarkets,Hyderabad,Desktop Web Browser,172,2,1456.42,1.98,0
TXN-100372,CUST-1141,2025-01-15 09:16:42,731.59,UPI Transfer,Utilities & Bills,Chennai,Desktop Web Browser,1030,1,812.11,13.2,0
TXN-100766,CUST-1109,2025-01-15 10:55:02,875.7,POS / In-Store,Grocery & Supermarkets,Kochi,Desktop Web Browser,1140,1,1967.99,6.26,0
TXN-100364,CUST-1210,2025-01-15 11:01:21,1135.14,Online,Dining & Food,Mumbai,Trusted Mobile App (iOS),1624,2,698.49,6.31,0
TXN-100192,CUST-1183,2025-01-15 11:24:57,1140.29,UPI Transfer,Utilities & Bills,Delhi,Desktop Web Browser,706,1,984.43,11.59,0
TXN-100049,CUST-1120,2025-01-15 14:55:13,315.04,POS / In-Store,Utilities & Bills,Delhi,Trusted Mobile App (Android),1376,1,356.73,12.3,0
TXN-100114,CUST-1196,2025-01-15 18:25:43,247.75,POS / In-Store,Dining & Food,Kolkata,Trusted Mobile App (iOS),934,2,454.7,5.38,0
TXN-101105,CUST-1012,2025-01-15 18:28:42,1080.51,UPI Transfer,Utilities & Bills,Pune,Trusted Mobile App (Android),599,2,1218.41,11.54,0
TXN-100020,CUST-1142,2025-01-15 20:28:39,839.41,UPI Transfer,Utilities & Bills,Chennai,Trusted Mobile App (iOS),219,3,535.73,8.72,0
TXN-100289,CUST-1077,2025-01-16 08:32:25,343.94,POS / In-Store,Dining & Food,Hyderabad,Trusted Mobile App (iOS),722,1,308.48,9.54,0
TXN-100757,CUST-1138,2025-01-16 09:34:50,1296.4,POS / In-Store,Grocery & Supermarkets,Jaipur,Trusted Mobile App (iOS),587,2,2296.37,15.06,0
TXN-101093,CUST-1131,2025-01-16 17:36:39,750.84,POS / In-Store,Healthcare & Medical,Kolkata,Trusted Mobile App (Android),353,2,1119.33,14.9,0
TXN-100733,CUST-1115,2025-01-16 19:37:42,553.26,POS / In-Store,Healthcare & Medical,Bengaluru,Trusted Mobile App (iOS),1248,3,521.24,14.13,0
TXN-100402,CUST-1095,2025-01-16 19:59:43,869.73,POS / In-Store,Grocery & Supermarkets,Kochi,Trusted Mobile App (iOS),894,1,573.36,56.09,0
TXN-100362,CUST-1132,2025-01-16 23:45:27,1336.99,Online,Grocery & Supermarkets,Ahmedabad,Desktop Web Browser,1470,1,667.9,17.23,0
TXN-100589,CUST-1062,2025-01-17 07:44:04,1481.68,UPI Transfer,Dining & Food,Jaipur,Trusted Mobile App (iOS),1256,3,630.88,17.12,0
TXN-100792,CUST-1231,2025-01-17 09:50:53,293.01,UPI Transfer,Grocery & Supermarkets,Ahmedabad,Trusted Mobile App (Android),157,3,317.08,4.49,0
TXN-100241,CUST-1103,2025-01-17 11:17:29,731.42,POS / In-Store,Utilities & Bills,Pune,Trusted Mobile App (Android),829,2,687.44,1.88,0
TXN-100674,CUST-1051,2025-01-17 12:25:39,341.39,Online,Grocery & Supermarkets,Jaipur,Trusted Mobile App (Android),1163,1,387.78,17.03,0
TXN-100797,CUST-1203,2025-01-17 13:27:37,667.89,UPI Transfer,Grocery & Supermarkets,Hyderabad,Trusted Mobile App (iOS),331,2,704.51,12.71,0
TXN-100236,CUST-1166,2025-01-17 16:49:38,774.45,UPI Transfer,Dining & Food,Mumbai,Trusted Mobile App (iOS),78,3,923.15,66.63,0
TXN-100231,CUST-1168,2025-01-18 07:13:08,777.48,POS / In-Store,Healthcare & Medical,Chennai,Trusted Mobile App (iOS),1613,1,639.6,2.82,0
TXN-100996,CUST-1245,2025-01-18 16:29:37,1882.93,UPI Transfer,Dining & Food,Mumbai,Trusted Mobile App (iOS),1346,2,3666.29,9.18,0
TXN-100278,CUST-1227,2025-01-18 17:28:35,489.01,UPI Transfer,Utilities & Bills,Bengaluru,Trusted Mobile App (iOS),503,1,953.65,4.17,0
TXN-100337,CUST-1115,2025-01-18 21:20:08,893.37,Online,Healthcare & Medical,Bengaluru,Trusted Mobile App (iOS),1248,2,941.81,9.2,0
TXN-100650,CUST-1147,2025-01-19 10:44:04,1456.98,POS / In-Store,Utilities & Bills,Jaipur,Desktop Web Browser,905,1,927.73,6.38,0
TXN-100529,CUST-1143,2025-01-19 12:19:00,241.35,POS / In-Store,Healthcare & Medical,Delhi,Trusted Mobile App (Android),120,2,183.29,52.9,0
TXN-100123,CUST-1137,2025-01-19 12:37:28,812.88,POS / In-Store,Utilities & Bills,Bengaluru,Trusted Mobile App (iOS),1550,3,824.72,29.42,0
TXN-100822,CUST-1246,2025-01-19 19:43:30,2047.58,POS / In-Store,Utilities & Bills,Bengaluru,Trusted Mobile App (iOS),975,3,1326.95,38.26,0
TXN-101020,CUST-1095,2025-01-19 19:46:24,1058.9,POS / In-Store,Utilities & Bills,Hyderabad,Trusted Mobile App (iOS),894,3,1158.51,36.17,0
TXN-100987,CUST-1053,2025-01-19 20:00:49,2077.19,POS / In-Store,Grocery & Supermarkets,Delhi,Desktop Web Browser,1129,3,1128.75,10.88,0
TXN-101045,CUST-1153,2025-01-19 22:44:45,1824.58,POS / In-Store,Grocery & Supermarkets,Mumbai,Trusted Mobile App (Android),776,3,2616.17,1.57,0
TXN-101024,CUST-1001,2025-01-19 22:47:07,1430.97,UPI Transfer,Grocery & Supermarkets,Delhi,Trusted Mobile App (iOS),1548,1,1894.75,16.37,0
TXN-101171,CUST-1087,2025-01-20 02:58:06,197252.11,ATM Withdrawal,Crypto & Digital Assets,Kolkata,New Emulated Device,363,5,260.74,343.58,1
TXN-100261,CUST-1119,2025-01-20 11:07:21,901.53,Online,Healthcare & Medical,Kochi,Trusted Mobile App (Android),1298,2,736.44,15.03,0
TXN-100899,CUST-1003,2025-01-20 13:05:05,414.3,UPI Transfer,Grocery & Supermarkets,Bengaluru,Desktop Web Browser,239,1,1062.97,16.22,0
TXN-100280,CUST-1097,2025-01-20 14:10:28,1184.08,Online,Utilities & Bills,Hyderabad,Trusted Mobile App (iOS),937,2,1514.63,14.49,0
TXN-100205,CUST-1003,2025-01-20 14:28:23,720.27,POS / In-Store,Dining & Food,Bengaluru,Desktop Web Browser,239,2,872.52,8.6,0
TXN-100323,CUST-1170,2025-01-20 15:39:00,177.92,Online,Grocery & Supermarkets,Jaipur,Trusted Mobile App (Android),1421,2,358.8,2.9,0
TXN-100233,CUST-1207,2025-01-20 18:56:42,480.45,Online,Dining & Food,Kochi,Trusted Mobile App (iOS),1501,1,327.13,7.2,0
TXN-100054,CUST-1168,2025-01-20 20:17:27,639.6,Online,Utilities & Bills,Chennai,Trusted Mobile App (iOS),1613,1,632.32,6.98,0
TXN-100732,CUST-1117,2025-01-20 20:53:23,296.87,Online,Healthcare & Medical,Hyderabad,Trusted Mobile App (Android),275,1,644.47,2.11,0
TXN-100747,CUST-1100,2025-01-20 20:57:53,806.76,Online,Grocery & Supermarkets,Hyderabad,Trusted Mobile App (iOS),862,1,1848.88,7.07,0
TXN-100277,CUST-1145,2025-01-21 05:11:19,335.99,UPI Transfer,Dining & Food,Bengaluru,Desktop Web Browser,566,3,412.02,13.54,0
TXN-100904,CUST-1029,2025-01-21 11:09:19,482.01,Online,Utilities & Bills,Delhi,Desktop Web Browser,1330,2,340.08,0.74,0
TXN-100964,CUST-1219,2025-01-21 12:36:27,732.37,UPI Transfer,Grocery & Supermarkets,Jaipur,Trusted Mobile App (Android),355,2,1901.08,1.78,0
TXN-100281,CUST-1244,2025-01-21 12:56:14,206.7,Online,Utilities & Bills,Kochi,Desktop Web Browser,1387,3,261.34,13.31,0
TXN-101048,CUST-1053,2025-01-21 21:25:37,1697.4,Online,Dining & Food,Delhi,Desktop Web Browser,1129,3,1412.6,2.63,0
TXN-100937,CUST-1225,2025-01-21 22:42:51,394.12,Online,Dining & Food,Hyderabad,Trusted Mobile App (iOS),717,3,115.58,5.14,0
TXN-100504,CUST-1015,2025-01-22 09:30:07,743.18,POS / In-Store,Utilities & Bills,Pune,Trusted Mobile App (iOS),765,2,573.34,11.08,0
TXN-100493,CUST-1129,2025-01-22 11:25:04,1098.36,POS / In-Store,Dining & Food,Jaipur,Trusted Mobile App (Android),301,2,1450.54,8.39,0
TXN-100844,CUST-1243,2025-01-22 13:11:50,1075.14,Online,Utilities & Bills,Jaipur,Trusted Mobile App (iOS),836,2,553.03,13.62,0
TXN-100665,CUST-1243,2025-01-22 20:30:16,1248.24,Online,Utilities & Bills,Jaipur,Trusted Mobile App (iOS),836,2,1162.12,17.36,0
TXN-101018,CUST-1191,2025-01-22 21:11:55,317.19,UPI Transfer,Utilities & Bills,Bengaluru,Desktop Web Browser,1195,1,306.96,8.83,0
TXN-100584,CUST-1035,2025-01-22 21:26:24,1407.65,POS / In-Store,Dining & Food,Mumbai,Trusted Mobile App (Android),851,3,1344.62,6.51,0
TXN-100644,CUST-1196,2025-01-22 22:42:25,410.93,POS / In-Store,Dining & Food,Kolkata,Trusted Mobile App (Android),934,3,670.57,9.94,0
TXN-101163,CUST-1239,2025-01-23 01:11:07,153806.26,ATM Withdrawal,Crypto & Digital Assets,Delhi,Mobile Web Browser,1,7,854.92,255.53,1
TXN-100328,CUST-1190,2025-01-23 08:00:17,937.42,UPI Transfer,Healthcare & Medical,Pune,Desktop Web Browser,1562,3,759.7,12.11,0
TXN-100052,CUST-1105,2025-01-23 08:19:57,1065.35,Online,Healthcare & Medical,Delhi,Desktop Web Browser,1526,2,757.86,25.35,0
TXN-100031,CUST-1119,2025-01-23 11:31:54,736.44,UPI Transfer,Healthcare & Medical,Chennai,Trusted Mobile App (iOS),1298,1,890.78,47.99,0
TXN-101114,CUST-1172,2025-01-23 14:45:18,934.71,Online,Utilities & Bills,Delhi,Trusted Mobile App (Android),395,1,1143.4,13.52,0
TXN-100608,CUST-1142,2025-01-23 19:39:55,254.14,Online,Dining & Food,Chennai,Trusted Mobile App (iOS),219,3,654.61,8.3,0
TXN-100873,CUST-1031,2025-01-23 22:41:27,859.54,POS / In-Store,Healthcare & Medical,Hyderabad,Trusted Mobile App (iOS),976,2,925.91,9.42,0
TXN-100618,CUST-1210,2025-01-24 07:54:01,894.29,UPI Transfer,Dining & Food,Mumbai,Trusted Mobile App (iOS),1624,2,549.78,10.68,0
TXN-101097,CUST-1188,2025-01-24 08:38:49,520.74,UPI Transfer,Dining & Food,Chennai,Desktop Web Browser,290,3,564.53,9.68,0
TXN-100555,CUST-1246,2025-01-24 11:24:01,2060.93,Online,Grocery & Supermarkets,Pune,Trusted Mobile App (iOS),975,3,1610.88,16.25,0
TXN-100784,CUST-1017,2025-01-24 11:50:08,1145.84,UPI Transfer,Healthcare & Medical,Mumbai,Desktop Web Browser,970,3,598.38,9.82,0
TXN-100663,CUST-1154,2025-01-24 17:21:04,889.43,POS / In-Store,Dining & Food,Mumbai,Trusted Mobile App (Android),460,2,2072.66,13.4,0
TXN-100416,CUST-1250,2025-01-24 21:20:22,960.21,POS / In-Store,Grocery & Supermarkets,Pune,Trusted Mobile App (Android),1570,2,1114.89,0.71,0
TXN-100764,CUST-1071,2025-01-24 21:31:44,1240.19,Online,Grocery & Supermarkets,Chennai,Desktop Web Browser,1272,2,767.76,13.78,0
TXN-100903,CUST-1069,2025-01-24 22:51:44,798.5,UPI Transfer,Healthcare & Medical,Bengaluru,Trusted Mobile App (iOS),1381,1,718.42,2.73,0
TXN-100438,CUST-1069,2025-01-25 07:14:29,584.9,UPI Transfer,Utilities & Bills,Bengaluru,Trusted Mobile App (iOS),1381,2,445.92,0.76,0
TXN-100015,CUST-1137,2025-01-25 08:35:09,824.72,UPI Transfer,Grocery & Supermarkets,Delhi,Trusted Mobile App (iOS),1550,1,854.83,17.02,0
TXN-100762,CUST-1151,2025-01-25 11:16:17,376.17,UPI Transfer,Dining & Food,Hyderabad,Desktop Web Browser,1161,3,270.5,68.46,0
TXN-100889,CUST-1152,2025-01-25 11:42:46,856.77,Online,Utilities & Bills,Bengaluru,Trusted Mobile App (Android),291,3,1177.23,7.13,0
TXN-100388,CUST-1012,2025-01-25 12:08:16,1357.86,Online,Dining & Food,Pune,Trusted Mobile App (Android),599,2,2594.65,1.19,0
TXN-100878,CUST-1022,2025-01-25 18:34:26,370.7,Online,Utilities & Bills,Mumbai,Desktop Web Browser,496,1,259.78,17.6,0
TXN-100646,CUST-1012,2025-01-25 18:51:46,1218.41,UPI Transfer,Healthcare & Medical,Pune,Trusted Mobile App (Android),599,1,518.0,0.97,0
TXN-100303,CUST-1234,2025-01-26 07:14:42,800.48,POS / In-Store,Utilities & Bills,Kochi,Trusted Mobile App (Android),1006,2,844.48,14.59,0
TXN-100451,CUST-1214,2025-01-26 08:12:30,539.84,POS / In-Store,Healthcare & Medical,Delhi,Trusted Mobile App (Android),303,3,388.4,3.85,0
TXN-100918,CUST-1248,2025-01-26 08:50:37,2002.26,POS / In-Store,Grocery & Supermarkets,Hyderabad,Trusted Mobile App (Android),463,1,1016.18,60.74,0
TXN-100954,CUST-1092,2025-01-26 10:21:32,1637.26,Online,Grocery & Supermarkets,Delhi,Trusted Mobile App (iOS),854,3,1155.85,13.48,0
TXN-100497,CUST-1231,2025-01-26 13:09:55,149.57,UPI Transfer,Healthcare & Medical,Ahmedabad,Trusted Mobile App (Android),157,3,318.06,13.89,0
TXN-100602,CUST-1146,2025-01-26 14:57:04,606.71,UPI Transfer,Utilities & Bills,Bengaluru,Desktop Web Browser,934,1,891.52,14.31,0
TXN-100957,CUST-1202,2025-01-26 18:39:30,808.05,POS / In-Store,Healthcare & Medical,Hyderabad,Desktop Web Browser,665,1,586.88,8.04,0
TXN-100523,CUST-1146,2025-01-26 21:06:37,733.18,UPI Transfer,Healthcare & Medical,Bengaluru,Desktop Web Browser,934,1,873.37,12.48,0
TXN-100942,CUST-1122,2025-01-26 22:35:13,343.17,Online,Utilities & Bills,Kolkata,Trusted Mobile App (Android),448,2,698.07,6.61,0
TXN-100467,CUST-1038,2025-01-26 22:36:44,776.9,UPI Transfer,Healthcare & Medical,Hyderabad,Desktop Web Browser,1052,3,660.16,10.09,0
TXN-100804,CUST-1029,2025-01-26 22:47:30,340.08,Online,Dining & Food,Delhi,Desktop Web Browser,1330,2,380.39,17.21,0
TXN-100774,CUST-1063,2025-01-27 08:08:04,881.8,UPI Transfer,Dining & Food,Kolkata,Desktop Web Browser,69,1,579.25,8.13,0
TXN-101106,CUST-1180,2025-01-27 09:09:26,322.87,POS / In-Store,Healthcare & Medical,Mumbai,Desktop Web Browser,1681,2,423.61,10.89,0
TXN-100834,CUST-1086,2025-01-27 13:09:53,250.1,POS / In-Store,Utilities & Bills,Kochi,Trusted Mobile App (Android),527,2,566.56,0.57,0
